n,data_type,powersort_with,powersort_without,timsort_with,timsort_without,policy_gap_with_minrun,policy_gap_without_minrun,powersort_advantage_with_minrun,powersort_advantage_without_minrun,advantage_retention_ratio,with_minrun_natural_run_count,with_minrun_natural_normalized_run_count,with_minrun_natural_run_cv,with_minrun_natural_max_run_ratio,with_minrun_natural_max_to_avg_ratio,with_minrun_natural_run_entropy_bound_nH,with_minrun_adjusted_run_count,with_minrun_adjusted_normalized_run_count,with_minrun_adjusted_run_cv,with_minrun_adjusted_max_run_ratio,with_minrun_adjusted_max_to_avg_ratio,with_minrun_adjusted_run_entropy_bound_nH,with_minrun_minrun,with_minrun_insertion_ratio,with_minrun_extended_run_count,with_minrun_run_count_retention_ratio,with_minrun_entropy_retention_ratio,with_minrun_run_cv_change,with_minrun_max_run_ratio_change,without_minrun_natural_run_count,without_minrun_natural_normalized_run_count,without_minrun_natural_run_cv,without_minrun_natural_max_run_ratio,without_minrun_natural_max_to_avg_ratio,without_minrun_natural_run_entropy_bound_nH,without_minrun_adjusted_run_count,without_minrun_adjusted_normalized_run_count,without_minrun_adjusted_run_cv,without_minrun_adjusted_max_run_ratio,without_minrun_adjusted_max_to_avg_ratio,without_minrun_adjusted_run_entropy_bound_nH,without_minrun_minrun,without_minrun_insertion_ratio,without_minrun_extended_run_count,without_minrun_run_count_retention_ratio,without_minrun_entropy_retention_ratio,without_minrun_run_cv_change,without_minrun_max_run_ratio_change,metric
5000,one_huge_tail_minrun_aware,5520.0,5520.0,5520.0,5520.0,0.0,0.0,0.0,0.0,,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,40.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,one_huge_tail_raw_runs,9800.0,14228.0,9880.0,13984.0,80.0,-244.0,0.008097165991902834,-0.017448512585812356,-0.32786885245901637,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,26.0,0.0052,3.96,0.8,20.799999999999997,8253.496664211532,40.0,0.2,25.0,0.05189620758483034,0.6563195138390613,-13.919599548088314,0.0,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,random,34880.0,55152.4,34920.0,59352.4,40.0,4200.0,0.001145475372279496,0.07076377703344768,0.009523809523809525,2066.4,0.41328,0.28562480025775494,0.00132,2.7275199999999997,54803.62745302728,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,0.06049167634533488,0.6355221915403809,-0.28562480025775494,0.00668,2066.4,0.41328,0.28562480025775494,0.00132,2.7275199999999997,54803.62745302728,2066.4,0.41328,0.28562480025775494,0.00132,2.7275199999999997,54803.62745302728,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,skewed_runs,10000.0,10000.0,9566.0,9566.0,-434.0,-434.0,-0.045369015262387624,-0.045369015262387624,1.0,8.0,0.0016,1.7253323853681064,0.6956,5.5648,8705.804047789019,8.0,0.0016,1.7253323853681064,0.6956,5.5648,8705.804047789019,40.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0016,1.7253323853681064,0.6956,5.5648,8705.804047789019,8.0,0.0016,1.7253323853681064,0.6956,5.5648,8705.804047789019,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,alternating_minrun_large_runs,67200.0,67200.0,68800.0,68800.0,1600.0,1600.0,0.023255813953488372,0.023255813953488372,1.0,100.0,0.01,0.6,0.016,1.6,63657.842846620966,100.0,0.01,0.6,0.016,1.6,63657.842846620966,40.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.01,0.6,0.016,1.6,63657.842846620966,100.0,0.01,0.6,0.016,1.6,63657.842846620966,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,alternating_small_large_raw_runs,78724.0,83136.0,80084.0,86400.0,1360.0,3264.0,0.01698216872284102,0.03777777777777778,0.4166666666666667,304.0,0.0304,0.9408448968878984,0.0064,1.9456000000000002,74429.12379549477,228.0,0.0228,0.13338665600426453,0.0052,1.1856,78201.64751593134,40.0,0.61,153.0,0.75,1.0506861229591007,-0.8074582408836339,-0.0012000000000000005,304.0,0.0304,0.9408448968878984,0.0064,1.9456000000000002,74429.12379549477,304.0,0.0304,0.9408448968878984,0.0064,1.9456000000000002,74429.12379549477,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,balanced_runs,30000.0,30000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,,8.0,0.0008,0.0,0.125,1.0,30000.0,8.0,0.0008,0.0,0.125,1.0,30000.0,40.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0008,0.0,0.125,1.0,30000.0,8.0,0.0008,0.0,0.125,1.0,30000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,duplicate_heavy,79760.0,119982.8,79840.0,127040.6,80.0,7057.800000000003,0.001002004008016032,0.055555468094451714,0.011334976904984551,4057.0,0.40570000000000006,0.3097115117971361,0.0007199999999999999,2.92014,119257.24383445198,250.0,0.025,0.0,0.004,1.0,79657.842846621,40.0,1.0,250.0,0.06162188809465122,0.6679497218399476,-0.3097115117971361,0.00328,4057.0,0.40570000000000006,0.3097115117971361,0.0007199999999999999,2.92014,119257.24383445198,4057.0,0.40570000000000006,0.3097115117971361,0.0007199999999999999,2.92014,119257.24383445198,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,exponential_runs,18889.0,18889.0,18889.0,18889.0,0.0,0.0,0.0,0.0,,6.0,0.0006,1.0312051978146735,0.5079,3.0473999999999997,18820.79835355877,6.0,0.0006,1.0312051978146735,0.5079,3.0473999999999997,18820.79835355877,40.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0006,1.0312051978146735,0.5079,3.0473999999999997,18820.79835355877,6.0,0.0006,1.0312051978146735,0.5079,3.0473999999999997,18820.79835355877,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,many_tiny_runs,79760.0,123616.0,79840.0,126320.0,80.0,2704.0,0.001002004008016032,0.021405953134895503,0.029585798816568046,5000.0,0.5,0.0,0.0002,1.0,122877.12379548527,250.0,0.025,0.0,0.004,1.0,79657.842846621,40.0,1.0,250.0,0.05,0.6482723584839294,0.0,0.0038,5000.0,0.5,0.0,0.0002,1.0,122877.12379548527,5000.0,0.5,0.0,0.0002,1.0,122877.12379548527,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,near_minrun_boundary,79760.0,79760.0,79840.0,79840.0,80.0,80.0,0.001002004008016032,0.001002004008016032,1.0,250.0,0.025,0.025,0.0041,1.025,79653.33395487332,250.0,0.025,0.0,0.004,1.0,79657.842846621,40.0,0.5,125.0,1.0,1.000056606440984,-0.025,-0.00010000000000000026,250.0,0.025,0.025,0.0041,1.025,79653.33395487332,250.0,0.025,0.025,0.0041,1.025,79653.33395487332,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,nearly_sorted,77990.8,83019.2,81834.6,89216.6,3843.800000000003,6197.400000000009,0.0469703523937308,0.06946465119719882,0.6202278374802332,384.6,0.03846,0.9513880346864043,0.01744,6.710459999999999,80298.37928142553,222.8,0.02228,0.3298585001922506,0.01678,3.7376400000000003,77415.08523389127,40.0,0.69608,174.4,0.5793031721268851,0.964092749152146,-0.6215295344941537,-0.0006600000000000009,384.6,0.03846,0.9513880346864043,0.01744,6.710459999999999,80298.37928142553,384.6,0.03846,0.9513880346864043,0.01744,6.710459999999999,80298.37928142553,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,one_huge_tail_minrun_aware,10520.0,10520.0,10520.0,10520.0,0.0,0.0,0.0,0.0,,6.0,0.0006,2.1824023460397948,0.9800000000000001,5.88,1878.7910443956794,6.0,0.0006,2.1824023460397948,0.9800000000000001,5.88,1878.7910443956794,40.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0006,2.1824023460397948,0.9800000000000001,5.88,1878.7910443956794,6.0,0.0006,2.1824023460397948,0.9800000000000001,5.88,1878.7910443956794,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,one_huge_tail_raw_runs,21680.0,30454.0,21760.0,29968.0,80.0,-486.0,0.003676470588235294,-0.016217298451681794,-0.1646090534979424,1001.0,0.1001,25.291896726026703,0.8,800.8000000000001,27150.849518197494,51.0,0.0051,5.628569978244919,0.8,40.8,18506.99332842308,40.0,0.2,50.0,0.05094905094905095,0.6816358845795604,-19.663326747781785,0.0,1001.0,0.1001,25.291896726026703,0.8,800.8000000000001,27150.849518197494,1001.0,0.1001,25.291896726026703,0.8,800.8000000000001,27150.849518197494,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,random,79760.0,120334.2,79840.0,127992.0,80.0,7657.800000000003,0.001002004008016032,0.05983030189386839,0.010446864634751491,4143.0,0.4143,0.28506392510292994,0.0006399999999999999,2.65118,119644.91588179853,250.0,0.025,0.0,0.004,1.0,79657.842846621,40.0,1.0,250.0,0.06034274680183442,0.6657854390178837,-0.28506392510292994,0.00336,4143.0,0.4143,0.28506392510292994,0.0006399999999999999,2.65118,119644.91588179853,4143.0,0.4143,0.28506392510292994,0.0006399999999999999,2.65118,119644.91588179853,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
10000,skewed_runs,20002.0,20002.0,18698.0,18698.0,-1304.0,-1304.0,-0.06974007915285058,-0.06974007915285058,1.0,8.0,0.0008,1.7253322462644693,0.6956,5.5648,17411.61804520777,8.0,0.0008,1.7253322462644693,0.6956,5.5648,17411.61804520777,40.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0008,1.7253322462644693,0.6956,5.5648,17411.61804520777,8.0,0.0008,1.7253322462644693,0.6956,5.5648,17411.61804520777,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
