algorithm,correct,minrun,insertion_ratio,extended_run_count,weighted_merge_workload,merge_comparisons,adjusted_run_count,adjusted_normalized_run_count,adjusted_avg_run_length,adjusted_run_cv,adjusted_max_run_ratio,adjusted_max_to_avg_ratio,adjusted_run_entropy,adjusted_run_entropy_bound_nH,n,data_type,trial,natural_run_count,natural_normalized_run_count,natural_avg_run_length,natural_run_cv,natural_max_run_ratio,natural_max_to_avg_ratio,natural_run_entropy,natural_run_entropy_bound_nH
timsort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,3,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,3,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,3,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,3,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,4,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,4,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,4,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,4,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_with_minrun,True,63,1.0,16,4000,1992,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,many_tiny_runs,0,500,0.5,2.0,0.0,0.002,1.0,8.965784284662018,8965.784284662017
powersort_style_with_minrun,True,63,1.0,16,4000,1992,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,many_tiny_runs,0,500,0.5,2.0,0.0,0.002,1.0,8.965784284662018,8965.784284662017
timsort_style_without_minrun,True,0,0.0,0,8984,4432,500,0.5,2.0,0.0,0.002,1.0,8.965784284662018,8965.784284662017,1000,many_tiny_runs,0,500,0.5,2.0,0.0,0.002,1.0,8.965784284662018,8965.784284662017
powersort_style_without_minrun,True,0,0.0,0,8976,4472,500,0.5,2.0,0.0,0.002,1.0,8.965784284662018,8965.784284662017,1000,many_tiny_runs,0,500,0.5,2.0,0.0,0.002,1.0,8.965784284662018,8965.784284662017
timsort_style_with_minrun,True,63,1.0,16,4000,1992,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,many_tiny_runs,1,500,0.5,2.0,0.0,0.002,1.0,8.965784284662018,8965.784284662017
